source_id,source_name,exact_url,publisher,source_class,engine_components,available_fields,identifier_systems,historical_coverage,update_cadence,publication_timestamp_support,historical_vintage_support,access_method,free_or_paid,license_or_terms_url,automation_permissions,raw_artifact_format,join_requirements,chronology_hazards,quality_limitations,verification_timestamp,unresolved_questions
nflverse_pbp,nflverse play-by-play (nflfastR),https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2026.parquet,nflverse (derived from NFL GSIS feeds),secondary derived from official feed,team volume; efficiency; drive simulator; DST; kicker; accounting invariants,"372 cols incl game_id, play_id, drive, down, ydstogo, yardline_100, play_type, pass, rush, qb_dropback, qb_scramble, qb_kneel, sack, interception, fumble_lost, air_yards, yards_after_catch, epa, xpass, pass_oe, roof, surface, temp, wind, passer/rusher/receiver ids","gsis_id (player), game_id (nflverse), old_game_id (GSIS)","1999 to present; 2026 file 2,351,638 B at 04:05Z",nightly after game days plus in-day points; Thursday build includes stat corrections (https://nflreadr.nflverse.com/articles/nflverse_data_schedule.html),release asset updated-at only,NO native vintages; archive own bytes with sha256,HTTPS GET release asset,free,UNKNOWN (no license stated on schedule page),GitHub release download is technically automatable; redistribution rights UNKNOWN,"parquet, csv.gz, rds",gsis_id to rosters; game_id to schedules,"epa, xpass, wp, cp are model-derived post hoc; stat corrections change bytes Wed to Thu; pass==1 on scrambles and sacks, rush==0 on scrambles",model-derived columns must not be used as forecast inputs without a declared exemption,2026-09-21T18:00Z,explicit license for derived data; commercial-use terms
nflverse_rosters,nflverse rosters (season),https://github.com/nflverse/nflverse-data/releases/download/rosters/roster_2026.parquet,nflverse (nflverse-rosters workflows),secondary derived,player universe; identity,"season, team, position, depth_chart_position, jersey_number, status, full_name, gsis_id, espn_id, sportradar_id, yahoo_id, rotowire_id, pff_id, pfr_id, sleeper_id, headshot_url, draft info","gsis_id, espn_id, sportradar_id, pfr_id, pff_id","1920s onward per nflverse; 2026 file 543,404 B",daily 07:00 UTC (https://nflreadr.nflverse.com/articles/nflverse_data_schedule.html),release updated-at only,PARTIAL: pre Aug 2022 snapshots archived in nflverse-data-archives (https://github.com/nflverse/nflverse-data-archives/releases); in-season daily vintages must be self-archived,HTTPS GET,free,UNKNOWN,technically automatable; redistribution UNKNOWN,parquet,gsis_id primary,season file is overwritten daily; using today's file for a past week leaks status,status codes and depth_chart_position semantics not documented on schedule page,2026-09-21T18:00Z,upstream source systems not named in nflverse-rosters README
nflverse_weekly_rosters,nflverse weekly rosters,https://github.com/nflverse/nflverse-data/releases/download/weekly_rosters/roster_weekly_2026.parquet,nflverse,secondary derived,point-in-time roster membership; availability tier 3,"36 cols incl season, week, team, position, status, status_description_abbr, gsis_id, espn_id, sportradar_id, pfr_id, full_name","gsis_id, espn_id, sportradar_id, pfr_id","2026 file 622,124 B (sha256 9eaad98f2967...); earlier seasons per release",UNKNOWN (not on schedule page),none per row,"week-keyed rows, but the week snapshot time is UNKNOWN",HTTPS GET,free,UNKNOWN,technically automatable,parquet,gsis_id; pfr_id bridge to snap counts,a week row may reflect post-game roster state,status semantics undocumented,2026-09-21T18:00Z,exact capture time per week
nflverse_depth_charts,nflverse depth charts (ESPN-sourced since 2025),https://github.com/nflverse/nflverse-data/releases/download/depth_charts/depth_charts_2026.parquet,nflverse; upstream ESPN,secondary aggregation of unofficial depth charts,depth-aware cold start; role state; availability tier 5,"dt, team, player_name, espn_id, gsis_id, pos_grp_id, pos_grp, pos_id, pos_name, pos_abb, pos_slot, pos_rank (https://nflreadr.nflverse.com/articles/dictionary_depth_charts.html)","espn_id, gsis_id","2026: 540,682 rows, 188 dt vintages 2026-03-22 to 2026-09-20T12:14:30Z; pre-2025 rows use old NFL Data Exchange schema","daily 07:00 UTC, appended with ISO8601 dt","dt = load time, not ESPN publish time",YES from 2025 (appended vintages),HTTPS GET,free,UNKNOWN,technically automatable,parquet,gsis_id; filter dt <= information cut,file holds all vintages; an unfiltered join uses future depth charts,ESPN depth charts are unofficial; formation-coded pos_grp,2026-09-21T18:00Z,ESPN publish timestamp; gsis_id null rate
nflverse_snap_counts,nflverse snap counts (PFR),https://github.com/nflverse/nflverse-data/releases/download/snap_counts/snap_counts_2026.parquet,nflverse; upstream Pro Football Reference,secondary,participation model; role state; appearance hurdle,"game_id, pfr_game_id, season, game_type, week, player, pfr_player_id, position, team, opponent, offense_snaps, offense_pct, defense_snaps, defense_pct, st_snaps, st_pct (https://nflreadr.nflverse.com/reference/load_snap_counts.html)",pfr_player_id only,2012 to present,"0,6,12,18 UTC dependent on PFR",none,post-game facts; not needed as vintages,HTTPS GET,free,UNKNOWN (PFR terms govern upstream),nflverse asset automatable; PFR site itself has usage terms,parquet,pfr_player_id to gsis_id via rosters or players.parquet,only available after the game,PFR snap counts are unofficial; no route counts,2026-09-21T18:00Z,PFR redistribution terms
nflverse_injuries,nflverse injuries (practice and game status reports),https://github.com/nflverse/nflverse-data/releases/download/injuries/injuries_2026.parquet,nflverse; upstream NFL club reports,secondary aggregation of official reports,availability tiers 2 and 4; injury model,"season, week, team, gsis_id, full_name, position, report_primary_injury, report_secondary_injury, report_status (Out, Doubtful, Questionable), practice_primary_injury, practice_status, date_modified",gsis_id,"2009 onward per nflverse; 2026 file 22,001 B",UNKNOWN on schedule page,date_modified field present (semantics UNKNOWN),final weekly report only; Wed/Thu/Fri progression not preserved unless self-archived,HTTPS GET,free,UNKNOWN,technically automatable,parquet,gsis_id,final designation overwrites earlier; using it before Friday leaks,teams apply Questionable inconsistently (https://www.footballguys.com/article/2025-chance-to-play-questionable-vs-doubtful),2026-09-21T18:00Z,capture cadence; date_modified semantics
nflverse_participation,nflverse pbp participation (on-field players per play),https://github.com/nflverse/nflverse-data/releases/download/pbp_participation/pbp_participation_2025.parquet,"nflverse; NGS pre-2023, FTN Data 2023 onward",secondary; FTN-licensed,route proxy; personnel; alignment training data (offseason only),"nflverse_game_id, play_id, possession_team, offense_formation, offense_personnel, defenders_in_box, defense_personnel, number_of_pass_rushers, players_on_play, offense_players, defense_players, ngs_air_yards, time_to_throw, was_pressure, route, defense_man_zone_type, defense_coverage_type (https://nflreadr.nflverse.com/reference/load_participation.html)",gsis_id lists; nflverse_game_id,2016 to 2025; 2026 returns 404 in season,after all post-season games are completed,none,not applicable (post-season facts),HTTPS GET,free,CC-BY-SA 4.0 (https://nflreadr.nflverse.com/reference/load_participation.html),permitted with attribution and share-alike,parquet,nflverse_game_id + play_id to pbp,unavailable in season: any in-season route feature must be a proxy,route field coverage varies by season,2026-09-21T18:00Z,whether 2026 will be published after season
nflverse_ftn_charting,nflverse FTN charting subset,https://github.com/nflverse/nflverse-data/releases/download/ftn_charting/ftn_charting_2026.parquet,FTN Data via nflverse,secondary; licensed subset,"scheme features: motion, play action, shotgun, pass rushers, screens","29 cols incl nflverse_game_id, nflverse_play_id, is_motion, is_play_action, is_screen_pass, is_rpo, is_trick_play, n_pass_rushers, n_blitzers, is_qb_out_of_pocket, is_interception_worthy, is_throw_away, read_thrown, n_defense_box","nflverse_game_id, nflverse_play_id","2022 to present; 2026 file 49,613 B",charted within 48 hours of each game (https://nflreadr.nflverse.com/reference/load_ftn_charting.html),none,post-game facts,HTTPS GET,free subset; full FTN feed paid,CC-BY-SA 4.0; attribute FTN Data via nflverse,permitted with attribution and share-alike,parquet,play-level join to pbp,48-hour lag,subset only; no routes or alignment,2026-09-21T18:00Z,none for subset; paid catalog is a separate vendor thread
nflverse_stats_player,nflverse weekly player stats (calculate_stats),https://github.com/nflverse/nflverse-data/releases/download/stats_player/stats_player_week_2026.parquet,nflverse,secondary derived,baselines; accounting cross-checks,"150 cols incl player_id, season, week, team, carries, targets, receptions, passing_epa, cpoe, rushing_yards, receiving_yards",player_id (gsis),"per release; 2026 file 207,899 B sha256 3a707a36c93d...",follows pbp,none,post-game facts,HTTPS GET,free,UNKNOWN,technically automatable,parquet,player_id = gsis_id,old player_stats path is 404 (rename in nflreadr 1.5.0),"derived, subject to pbp corrections",2026-09-21T18:00Z,none
nflverse_players,nflverse players master (identity),https://github.com/nflverse/nflverse-data/releases/download/players/players.parquet,nflverse (nflverse-players repo),secondary crosswalk,identity graph football axis,"39 cols incl gsis_id, display_name, first_name, last_name, short_name, football_name, suffix, esb_id, nfl_id, pfr_id, pff_id, otc_id, espn_id, smart_id, birth_date, position_group, draft fields (https://nflreadr.nflverse.com/reference/load_players.html)","gsis_id (primary), esb_id, nfl_id, smart_id, pfr_id, pff_id, otc_id, espn_id","24,824 players in example output",UNKNOWN,none,none (current crosswalk),HTTPS GET,free,UNKNOWN,technically automatable,parquet,gsis_id hub,"none for identity, but name fields change over time",PFR and ESPN joined via gsis_id by repo logic (https://github.com/nflverse/nflverse-players); null rates UNKNOWN,2026-09-21T18:00Z,sportradar_id absent here; use rosters or ff_playerids
