task_id,objective,dependencies,required_sources,implementation_outline,output_artifacts,acceptance_criteria,validation_plan,blocked_product_scopes,research_uncertainty
T-01,"Content-addressed raw capture store with sha256, retrieved_at_utc, published_at_status and parser_version for every source",none,all registry sources,Implement raw_capture schema 3.1; capture CLI; storage layout raw/YYYY/MM/DD/<sha>.<ext>; parser registry,"raw store, capture log parquet",every downstream record references a capture_id; zero records without hash,replay a week of captures and verify hash stability,all scopes until done,low
T-02,"Daily self-archive of nflverse rosters, weekly rosters, injuries, depth charts, snap counts, pbp, stats with size and sha256 change log",T-01,"nflverse_rosters, nflverse_weekly_rosters, nflverse_injuries, nflverse_depth_charts, nflverse_snap_counts, nflverse_pbp, nflverse_stats_player",cron at 07:30 UTC and 05:00 UTC Thu for stat corrections; store bytes; diff row counts and hashes,vintage table per asset,each asset has one vintage per day with hash; stat-correction diffs logged,compare Wed and Thu pbp vintages for one week,backtests needing vintages,low
T-03,"Inactives capture pipeline: NFL.com weekly article plus club posts at T minus 100 to T minus 60 minutes, then gamebook reconciliation",T-01,"nfl_inactives_article, club_inactives, nfl_gamebook",extend REPO capture standard in external-research/inactives/; schedule per kickoff window; parse names to gsis_id with identity_resolution records,player_state_at_cut updates; reconciliation report,G-I-1 pass; reconciliation mismatch rate reported,gamebook starters and inactives vs captured list for every game in a week,F1 to F5 live,medium (name resolution)
T-04,"Transactions and reserve-list event capture with retrieval timestamps and rules engine for IR, PUP, NFI, suspension, elevation and reversion","T-01, T-07","nfl_transactions, cba_art33, nfl_emergency_qb, club sites",investigate NFL.com transactions JSON endpoint (E-01); encode CBA Article 33 Section 5 limits and 4pm reversion; emergency QB rule,roster_event table; rules test suite,every roster event typed; rule tests pass,replay 2026 weeks 1 to 2 events against weekly rosters,F1 to F5 backtests using Tier 2,high (source structure UNKNOWN)
T-05,"Weather archive: forecasts at T minus 96, 72, 48, 24, 6 hours per stadium plus observed post-game",T-01,"open_meteo_hist_forecast, open_meteo_hist, noaa_isd, meteostat_hourly, nfldata_datasets (roof, surface)",stadium table with lat lon; scheduled pulls; weather_at_cut schema 3.9; is_proxy flag,weather_at_cut parquet,every outdoor game has all horizons from archive start,compare T minus 6 forecast with observed for a month,F3 for outdoor games when weather is a live input,medium (license terms UNKNOWN)
T-06,Release manifest and seed derivation,T-01,none,manifest schema 3.4; seed_root = sha256(manifest); numpy SeedSequence spawning per world block,manifest json per release,identical manifest reproduces identical world_player_stats hash,rerun a release twice,all scopes,low
T-07,Football identity graph keyed by gsis_id with alias table,T-01,"nflverse_players, nflverse_rosters, dp_ff_playerids, nflverse_draft_picks","load players.parquet; build alias variants (suffix, accent fold, football_name); team and position history from roster vintages",identity_football parquet; alias parquet,G-II-1 100 percent coverage of pbp players for the cut,weekly coverage report,F1 to F5,low
T-08,Salary and market identity axis with confidence classes and refusal states,T-07,"DK and FD salary files (uploaded_attachments), dk_contest_csv",identity_resolution schema 3.3; deterministic matcher; audit log; blocks_scopes,identity_resolution parquet per slate,G-II-2 reported; no football state modified by salary failures,hand-labeled set from Week 1 salary files,D1 to D5 only,medium
T-09,"Availability model: P(active) and limitation multiplier from game status, practice pattern, injury type, team, position, role","T-02, T-03, T-04","nflverse_injuries, nfl_injury_policy, player_state_at_cut","hierarchical logistic, forward-chain fit; deterministic handling of IR, PUP, NFI, suspension",availability parquet per release; model card,G-XIV-1 reliability by status; G-XIV-2 mixtures present,chronological origins 2022 to 2025 with final-report-only label,F2 onward,medium (FINAL_REPORT_ONLY limitation)
T-10,Two-stage participation model: appearance hurdle and beta snap share with EWMA prior and change-point reset,"T-07, T-09","nflverse_snap_counts, nflverse_depth_charts, nflverse_pbp",stage 1 logistic; stage 2 beta regression; CUSUM change-point; pfr_id to gsis_id bridge,snap share posterior per player-week,"G-III-1, G-III-2",forward-chain 2022 to 2025 vs persistence baseline,F2 onward,medium
T-11,"Depth-aware cold-start priors from depth rank, draft capital and room composition","T-07, T-10","nflverse_depth_charts, nflverse_draft_picks, nfldata_datasets",empirical Bayes prior; exclude career columns; n0 derived per Section 4.2,"prior table by position, depth rank, draft bucket",G-IV-1 leakage check; error vs depth-only baseline,2025 to 2026 rookies chronologically,F2 for rookies and new-team players,high (thin data)
T-12,Role state model with latent states and transition model; HMM challenger,"T-10, T-11","snap counts, depth charts, availability",state enum; transition covariates including teammate availability and coaching change; HMM from REPO methodology as challenger,role posterior per player-week,G-V-1 log loss vs persistence,forward-chain,F2 onward,high
T-13,Absence and redistribution learning by position and role pair,"T-10, T-12","snap counts, pbp, player_state_at_cut",estimate concentration shifts under known pre-cut absences; NO_ANALOGUE state,redistribution effects table,G-VIII-1,weeks with pre-cut known absences only,"F2, F3",high
T-14,"Team latent rates: pace, neutral pass rate, situational modifiers, opponent-adjusted with forward-chain shrinkage","T-02, T-06","nflverse_pbp, nfldata_datasets (coaches)",extend REPO OAS1 forward-chain approach; random walks by week; coach random effect,team rate posteriors,"G-VI-1, G-VI-2, G-XIII-1",chronological 2019 to 2025,F1 onward,medium
T-15,Dirichlet-multinomial allocation of targets and carries by field zone,"T-10, T-12, T-14","pbp, snap counts",concentration vector from role and share; red-zone split; exact sum invariant,allocation parameters per team-week,"G-VII-1, G-VII-2",forward-chain vs share-proportional baseline,F2 onward,medium
T-16,Per-opportunity efficiency distributions with hierarchical shrinkage; matchup and weather covariates as optional modules,"T-05, T-14","pbp, pfr_advstats_pass, nflverse_ftn_charting",per-play yardage and TD components; opponent adjustment; module flags,efficiency posteriors,G-IX-1; G-XII-1 for matchup module,CRPS vs position mean,F3,medium
T-17,"Drive-level simulator (Option B) with play-count sub-model, clock, score state, kneel-downs, garbage time, overtime module","T-14, T-15, T-16",pbp,"Numba kernel over (world, play); emit per-play events; accounting by construction","world_player_stats, world_team_stats",G-X-1 exact; G-X-2; G-X-3,"team totals, drives, plays PIT on 2024 to 2025 origins","F1 to F5, P, D",high
T-18,Kicker module: FG attempt emergence and make probability with kicker random effects and environment terms,"T-17, T-05","pbp, clark_johnson_stimpson reference",logistic re-estimation forward-chain; reference coefficients as sanity only,kicker parameters,G-XXIII-1,reliability by distance bucket,F4,low
T-19,"DST module: sacks, turnovers, return TDs, safeties, blocked kicks, points allowed from opponent world score",T-17,"pbp, dk_rules_json",event emission rates per play; bracket scoring,dst world stats,"G-XXII-1, G-XXII-2",PIT and bracket reliability,"F5, D1, D2",medium
T-20,"Uncertainty decomposition: nested parameter, scenario and world sampling with variance components and MC SE",T-17,none,law of total variance; report per output,uncertainty columns,"G-XV-1, G-XV-2",synthetic checks plus release audits,all exposed outputs,low
T-21,"Validation library: CRPS, log score, PIT, randomized PIT, CEP tests, block bootstrap clustered by game and team-week",T-06,"Gneiting 2007, Wei and Held 2014, REPO methodology/simulation_calibration.md",pure functions with tests; gate_result schema 3.8,gate_result records,unit tests on known distributions,simulation study for power,all statistical gates,low
T-22,Gate threshold and sample-size derivation per family and per gate following Section 4.2,T-21,none,"estimand, product risk, dependence, power; store derivations",gate definitions with derivations,every gate has documented derivation; none fixed by fiat,review by independent validator,all scopes,medium
T-23,Chronological backtest harness with rolling origins and leakage linter on manifests,"T-06, T-21",all,origin loop; published_at greater than cut fails; feature manifest linter rejecting market columns and model-derived columns without exemption,backtest reports,G-XVII-1; linter zero exceptions,inject a leaked column and confirm failure,all scopes,low
T-24,"Prospective log: freeze releases before kickoff, score after, accumulate weeks",T-23,all,release freeze at cut; scoring job after gamebooks; ledger,prospective ledger,weeks counted only when frozen before kickoff,audit timestamps,DEPLOYABLE verdicts,low
