gate_id,block,component,gate_class,statistic,baseline,evaluation_unit,dependence_handling,pass_rule,reason_code_on_fail
G-I-1,I,point-in-time state,PROVENANCE,share of Tier 1 facts with raw bytes and sha256,none,fact,n/a,equals 1.0,GATE_FAIL:G-I-1
G-I-2,I,point-in-time state,PROVENANCE,count of records with published_at_status UNKNOWN used at Tier 1 to 5,none,release,n/a,equals 0,GATE_FAIL:G-I-2
G-I-3,I,point-in-time state,DIAGNOSTIC,gamebook reconciliation error rate per week,none,player-game,clustered by game,reported with interval; threshold from Section 4.2 procedure,GATE_NOT_EVALUATED:G-I-3
G-II-1,II,identity resolution,EXACT_CORRECTNESS,football-axis coverage of pbp players at cut,none,game,n/a,equals 1.0 else NO_OUTPUT for the game,NO_OUTPUT
G-II-2,II,identity resolution,EXACT_CORRECTNESS,salary-axis unresolved count per slate,none,slate,n/a,reported; each unresolved player emits IDENTITY_UNRESOLVED on D scopes only,IDENTITY_UNRESOLVED
G-III-1,III,participation,STATISTICAL_READINESS,PIT uniformity (Wei-Held discrete) of snap-share predictive distributions per position,none,player-game,clustered by game and week,uniformity test not rejected at declared level over prospective log,GATE_FAIL:G-III-1
G-III-2,III,participation,STATISTICAL_READINESS,hurdle Brier and reliability per status code,status-code base rate,player-game,clustered by week,Brier interval below baseline; reliability slope interval contains 1,GATE_FAIL:G-III-2
G-IV-1,IV,cold start priors,PROVENANCE,columns dated after cut used in prior,none,release,n/a,equals 0 (static check),GATE_FAIL:G-IV-1
G-V-1,V,role state,STATISTICAL_READINESS,role-state log loss,persistence of last observed role,player-game,clustered by week,log loss interval below baseline chronologically,GATE_FAIL:G-V-1
G-VI-1,VI,team volume,STATISTICAL_READINESS,PIT uniformity of team plays and pass attempts,none,team-game,clustered by game,uniformity not rejected,GATE_FAIL:G-VI-1
G-VI-2,VI,team volume,PROVENANCE,market columns in feature manifest,none,release,n/a,equals 0 (static check),GATE_FAIL:G-VI-2
G-VII-1,VII,allocation,STATISTICAL_READINESS,coverage of realized top-1 share and HHI by simulated intervals,nominal coverage,team-game,clustered by game,empirical coverage interval contains nominal,GATE_FAIL:G-VII-1
G-VII-2,VII,allocation,EXACT_CORRECTNESS,player counts sum to team counts,none,world,n/a,exact in every world,GATE_FAIL:G-VII-2
G-VIII-1,VIII,redistribution,STATISTICAL_READINESS,out-of-sample redistribution error on absences known before cut,naive proportional redistribution,team-game,clustered by week,error interval not above baseline,GATE_FAIL:G-VIII-1
G-IX-1,IX,efficiency,STATISTICAL_READINESS,per-opportunity PIT and CRPS,position-mean predictive,opportunity,clustered by player and game,CRPS interval below baseline; PIT not rejected,GATE_FAIL:G-IX-1
G-X-1,X,simulator,EXACT_CORRECTNESS,accounting invariants (Block XLIV list),none,world,n/a,exact in every world,GATE_FAIL:G-X-1
G-X-2,X,simulator,STATISTICAL_READINESS,"PIT and CEP of drives per game, plays per drive, drive-outcome frequencies, team totals",none,game,clustered by game,not rejected chronologically,GATE_FAIL:G-X-2
G-X-3,X,simulator,DIAGNOSTIC,nested Monte Carlo SE present for every exposed output,none,release,nested ANOVA,present for 100 percent of exposed rows,GATE_FAIL:G-X-3
G-X-4,X,simulator,STATISTICAL_READINESS,"drive-outcome frequency score, play-level engine versus drive-level Markov baseline",drive-level Markov engine,game,clustered by game,play-level not worse (interval),GATE_FAIL:G-X-4
G-XI-1,XI,weather,PROVENANCE,"weather features carry horizon, run init time and source tag",none,game,n/a,equals 100 percent; missing latency measurement emits WEATHER_PROXY,WEATHER_PROXY
G-XI-2,XI,weather,PROVENANCE,observed weather columns in pre-kickoff manifest,none,release,n/a,equals 0,GATE_FAIL:G-XI-2
G-XII-1,XII,matchups,COMPONENT_INCLUSION,incremental CRPS over no-matchup model,no-matchup model,opportunity,clustered by game,improvement interval excludes 0; else the component is excluded from the release and the football scope is unaffected (not a scope failure),COMPONENT_NOT_INCLUDED:G-XII-1
G-XIII-1,XIII,coaching,COMPONENT_INCLUSION,forward-chain improvement over team-only effects,team-only effects,team-game,clustered by week,improvement interval excludes 0; else the component is excluded from the release and the football scope is unaffected,COMPONENT_NOT_INCLUDED:G-XIII-1
G-XIV-1,XIV,availability,STATISTICAL_READINESS,reliability of P(active) by status code and practice pattern,status-code base rate,player-game,clustered by week,"slope interval contains 1, intercept contains 0",GATE_FAIL:G-XIV-1
G-XIV-2,XIV,availability,EXACT_CORRECTNESS,Questionable players represented as two-world mixture,none,release,n/a,equals 100 percent,GATE_FAIL:G-XIV-2
G-XV-1,XV,uncertainty,EXACT_CORRECTNESS,"PREDICTIVE variance components (parameter, scenario, world) from balanced-nested expected mean squares sum to the predictive variance. This is NOT the Monte Carlo error; see G-XV-2",none,release,nested ANOVA,within numerical tolerance,GATE_FAIL:G-XV-1
